date,time_cst,setting,side,print_price,bar_open,bar_high,bar_low,bar_close,bar_volume
2026-08-28,11:05,7250v30,sell,29598,29531.75,29593,29528.75,29587,7147
2026-08-28,11:05,6750v30,sell,29596.5,29531.75,29593,29528.75,29587,7147
2026-08-28,11:05,5250v60,sell,29596.5,29531.75,29593,29528.75,29587,7147
2026-08-28,11:05,4500v60,sell,29596.5,29531.75,29593,29528.75,29587,7147
2026-08-28,11:50,6750v30,sell,29529,29536.5,29549,29507.5,29513,4482
2026-08-28,11:50,5250v60,sell,29554,29536.5,29549,29507.5,29513,4482
2026-08-28,11:50,4500v60,sell,29529,29536.5,29549,29507.5,29513,4482
2026-08-28,12:50,4500v60,sell,29529,29524.5,29529.25,29512.5,29517,2337
2026-08-28,12:55,5250v60,sell,29526.5,29517.75,29520,29494.25,29514.75,3374
2026-08-31,09:35,4500v60,sell,29439.75,29377,29429.5,29371,29407,5573
2026-08-31,09:40,5250v60,sell,29439.25,29406.75,29434.75,29403.5,29425.25,5064
2026-08-31,10:35,6750v30,buy,29378,29397.25,29404.5,29384,29397.25,2903
2026-08-31,12:10,7250v30,sell,29439,29419.25,29427,29415.25,29423.5,1695
2026-08-31,12:50,4500v60,sell,29462.5,29437,29457.5,29436,29453.75,2706
2026-08-31,12:55,5250v60,sell,29458.75,29453,29456.25,29432.5,29442,2250
2026-09-01,08:30,7250v60,buy,29080,29111.75,29124.75,29062.75,29099.25,19217
2026-09-01,09:45,5250v60,sell,29271.25,29234,29268,29224.25,29246,6624
2026-09-01,09:45,4500v60,sell,29273,29234,29268,29224.25,29246,6624
2026-09-01,10:30,6750v30,buy,29219.25,29232.25,29245.25,29224.25,29232.75,4610
2026-09-01,10:45,7250v60,sell,29322.75,29287.25,29317.75,29286,29312,6187
2026-09-01,10:45,7250v30,sell,29322.75,29287.25,29317.75,29286,29312,6187
2026-09-01,10:45,6750v30,sell,29322.75,29287.25,29317.75,29286,29312,6187
2026-09-01,10:45,5250v60,sell,29322.75,29287.25,29317.75,29286,29312,6187
2026-09-01,10:45,4500v60,sell,29322.75,29287.25,29317.75,29286,29312,6187
2026-09-01,11:55,5250v60,sell,29202.25,29164,29197.25,29163.5,29191.75,4140
2026-09-01,12:55,7250v60,sell,29148,29124.5,29142.75,29119,29140.75,1957
2026-09-01,13:20,4500v60,sell,29123.5,29111.75,29118.5,29104.75,29115.5,1921
2026-09-01,13:35,4500v60,sell,29082.25,29072.25,29080,29058,29060,3174
2026-09-02,08:55,5250v60,buy,29039.25,29030.25,29067.75,29017.25,29062.25,8173
2026-09-02,09:35,5250v60,sell,29213.75,29204.5,29213,29168.5,29185.75,5502
2026-09-02,09:35,4500v60,sell,29205.75,29204.5,29213,29168.5,29185.75,5502
2026-09-02,12:40,7250v60,sell,29178.75,29135,29158.75,29127.5,29158.75,3328
2026-09-02,12:40,7250v30,sell,29178.75,29135,29158.75,29127.5,29158.75,3328
2026-09-02,12:45,4500v60,sell,29177.25,29159,29173.75,29157.25,29158.75,2949
2026-09-02,12:50,6750v30,sell,29173.75,29159.5,29164.75,29151,29157,1856
2026-09-02,13:20,7250v30,sell,29180,29172.5,29176.5,29160.5,29170.75,2523
2026-09-02,13:20,5250v60,sell,29181.5,29172.5,29176.5,29160.5,29170.75,2523
2026-09-02,13:35,7250v30,sell,29159.25,29158.25,29165,29138.75,29141.25,2379
2026-09-03,08:40,7250v60,sell,29364.5,29329.5,29359.5,29314,29345,12281
2026-09-03,10:05,7250v30,sell,29450.5,29437,29445.5,29422.25,29429.75,7771
2026-09-03,10:05,6750v30,sell,29450.5,29437,29445.5,29422.25,29429.75,7771
2026-09-03,10:05,5250v60,sell,29450.5,29437,29445.5,29422.25,29429.75,7771
2026-09-03,10:25,7250v60,sell,29547.5,29481.75,29539.5,29479,29536.5,8546
2026-09-03,10:25,5250v60,sell,29544.5,29481.75,29539.5,29479,29536.5,8546
2026-09-03,10:25,4500v60,sell,29544.5,29481.75,29539.5,29479,29536.5,8546
2026-09-03,12:00,4500v60,sell,29539,29528.25,29534,29509,29519.5,2381
2026-09-03,13:00,4500v60,sell,29583.5,29543.5,29578.5,29543,29574.5,5522
2026-09-04,08:40,4500v60,sell,29652,29628.5,29647,29597.75,29616.5,11487
2026-09-04,08:50,7250v30,buy,29604.75,29634.5,29664.75,29609.75,29660,7624
2026-09-04,09:25,5250v60,buy,29559.75,29595.5,29602.5,29564.75,29595.5,7685
2026-09-04,10:30,6750v30,buy,29478.75,29506.75,29510.75,29478,29491.25,5554
2026-09-04,12:30,7250v30,sell,29509.5,29508,29508.5,29485,29493.5,3632
2026-09-04,12:35,6750v30,sell,29503.5,29493.75,29501.25,29489.25,29495.25,2302
