DateTime,Open,High,Low,Close,LegVWAP,DeltaIntensity
2026-07-09 12:58:27,29977.17,29977.17,29950.75,29963.19,0.00,-4.00
2026-07-09 12:58:31,29970.18,29970.18,29954.25,29960.38,0.00,-4.00
2026-07-09 12:59:18,29965.28,29980.25,29962.25,29971.19,0.00,-4.00
2026-07-09 13:00:15,29968.23,29982.75,29968.23,29978.19,0.00,-3.00
2026-07-09 13:01:45,29973.21,29978.50,29963.25,29971.12,0.00,-3.00
2026-07-09 13:03:03,29972.17,29973.50,29960.75,29967.94,0.00,-2.00
2026-07-09 13:05:15,29970.05,29980.25,29969.25,29975.12,0.00,-2.00
2026-07-09 13:06:34,29972.59,29985.00,29972.59,29978.25,0.00,-2.00
2026-07-09 13:09:11,29975.42,29983.25,29971.75,29976.00,0.00,-2.00
2026-07-09 13:11:24,29975.71,29980.25,29972.25,29974.81,0.00,-1.00
2026-07-09 13:13:54,29975.26,29981.00,29971.75,29975.69,0.00,-1.00
2026-07-09 13:16:30,29975.47,29976.75,29964.50,29970.62,0.00,-2.00
2026-07-09 13:18:37,29973.05,29974.50,29962.50,29966.56,0.00,-2.00
2026-07-09 13:20:18,29969.81,29969.81,29956.25,29961.62,0.00,-3.00
2026-07-09 13:21:33,29965.71,29966.25,29953.25,29958.50,0.00,-3.00
2026-07-09 13:23:26,29962.11,29962.11,29947.00,29952.56,0.00,-3.00
2026-07-09 13:24:46,29957.34,29957.34,29942.00,29948.81,0.00,-3.00
2026-07-09 13:25:43,29953.07,29957.25,29946.00,29951.56,0.00,-2.00
2026-07-09 13:27:04,29952.32,29960.50,29945.75,29951.75,0.00,-2.00
2026-07-09 13:29:04,29952.04,29966.00,29947.00,29955.00,0.00,-1.00
2026-07-09 13:30:21,29953.52,29967.50,29953.52,29962.38,0.00,-1.00
2026-07-09 13:31:52,29957.95,29968.25,29957.95,29964.12,0.00,-1.00
2026-07-09 13:34:41,29961.04,29962.50,29944.75,29955.31,0.00,-2.00
2026-07-09 13:35:53,29958.17,29958.17,29946.75,29951.81,0.00,-1.00
2026-07-09 13:37:57,29954.99,29956.75,29944.00,29949.38,0.00,-2.00
2026-07-09 13:40:06,29952.18,29952.18,29939.50,29945.38,0.00,-2.00
2026-07-09 13:41:48,29948.78,29959.50,29946.00,29951.38,0.00,-1.00
2026-07-09 13:43:17,29950.08,29959.25,29949.00,29954.88,0.00,-1.00
2026-07-09 13:45:28,29952.48,29962.25,29952.25,29957.19,0.00,-1.00
2026-07-09 13:47:29,29954.83,29965.00,29954.25,29957.81,0.00,1.00
2026-07-09 13:49:38,29956.32,29959.75,29946.50,29954.12,0.00,1.00
2026-07-09 13:52:05,29955.22,29955.22,29945.50,29951.69,0.00,1.00
2026-07-09 13:54:25,29953.46,29953.50,29930.00,29942.94,0.00,-2.00
2026-07-09 13:55:29,29948.20,29948.20,29932.00,29936.62,0.00,-2.00
2026-07-09 13:56:40,29942.41,29942.41,29931.25,29935.81,0.00,-2.00
2026-07-09 13:58:16,29939.11,29940.75,29929.50,29935.06,0.00,-2.00
2026-07-09 13:59:33,29937.09,29944.00,29926.50,29934.12,0.00,-3.00
2026-07-09 14:00:30,29935.61,29935.61,29916.25,29923.00,0.00,-3.00
2026-07-09 14:01:05,29929.30,29929.30,29911.25,29918.31,0.00,-3.00
2026-07-09 14:01:47,29923.81,29926.00,29915.50,29921.19,0.00,-2.00
2026-07-09 14:02:47,29922.50,29924.25,29913.25,29918.56,0.00,-2.00
2026-07-09 14:04:36,29920.53,29920.53,29905.25,29912.25,0.00,-3.00
2026-07-09 14:05:44,29916.39,29932.50,29910.50,29921.19,0.00,-1.00
2026-07-09 14:06:27,29918.79,29936.75,29918.79,29931.00,0.00,-1.00
2026-07-09 14:07:55,29924.89,29933.00,29916.50,29926.81,0.00,-1.00
2026-07-09 14:09:25,29925.85,29925.85,29912.00,29920.81,0.00,-2.00
2026-07-09 14:11:13,29923.33,29929.50,29916.50,29922.81,0.00,-2.00
2026-07-09 14:12:55,29923.07,29927.50,29914.00,29920.38,0.00,-2.00
2026-07-09 14:15:04,29921.72,29921.72,29902.75,29910.31,0.00,-3.00
2026-07-09 14:15:57,29916.02,29932.00,29911.00,29921.12,0.00,-1.00
2026-07-09 14:16:34,29918.57,29937.00,29918.57,29932.81,0.00,-1.00
2026-07-09 14:17:48,29925.69,29958.25,29925.69,29943.25,0.00,3.00
2026-07-09 14:18:29,29934.47,29948.75,29934.47,29945.00,0.00,2.00
2026-07-09 14:19:40,29939.73,29953.00,29939.73,29948.75,0.00,2.00
2026-07-09 14:21:21,29944.24,29957.75,29944.24,29950.75,0.00,2.00
2026-07-09 14:23:05,29947.50,29951.50,29941.50,29945.38,0.00,2.00
2026-07-09 14:24:54,29946.44,29946.44,29931.75,29938.00,0.00,-2.00
2026-07-09 14:25:46,29942.22,29942.22,29930.50,29935.81,0.00,-2.00
2026-07-09 14:27:28,29939.02,29942.25,29928.00,29935.31,0.00,-2.00
2026-07-09 14:29:13,29937.16,29937.16,29917.75,29927.12,0.00,-3.00
2026-07-09 14:30:14,29932.14,29932.14,29916.00,29918.94,0.00,-3.00
2026-07-09 14:30:58,29925.54,29925.75,29913.25,29920.06,0.00,-2.00
2026-07-09 14:32:00,29922.80,29928.75,29914.25,29920.69,0.00,-2.00
