DateTime,Open,High,Low,Close,Volume,BidVolume,AskVolume
2026-07-16 23:00:00,28911.00,28912.75,28803.00,28809.50,6496,3441,3055
2026-07-16 23:30:00,28808.00,28841.25,28774.50,28804.75,5421,2703,2718
2026-07-17 00:00:00,28806.00,28823.00,28783.50,28791.00,3615,1854,1761
2026-07-17 00:30:00,28792.50,28811.75,28725.00,28756.25,5159,2650,2509
2026-07-17 01:00:00,28755.00,28824.50,28722.50,28815.25,5878,2884,2994
2026-07-17 01:30:00,28814.25,28825.00,28730.50,28743.00,3804,2012,1792
2026-07-17 02:00:00,28744.25,28767.50,28713.50,28748.00,4955,2317,2638
2026-07-17 02:30:00,28750.00,28759.50,28682.50,28688.00,3762,1961,1801
2026-07-17 03:00:00,28687.50,28735.00,28577.25,28609.75,9639,4668,4971
2026-07-17 03:30:00,28609.50,28662.00,28550.00,28630.00,6152,3023,3129
2026-07-17 04:00:00,28628.75,28690.50,28618.75,28690.00,4405,2127,2278
2026-07-17 04:30:00,28691.00,28728.00,28661.75,28711.50,4011,1942,2069
2026-07-17 05:00:00,28711.75,28787.25,28691.50,28773.50,6782,3280,3502
2026-07-17 05:30:00,28772.25,28825.50,28763.00,28785.00,5582,2658,2924
2026-07-17 06:00:00,28786.75,28808.25,28728.25,28763.25,5929,2984,2945
2026-07-17 06:30:00,28764.00,28765.00,28713.50,28741.50,3456,1768,1688
2026-07-17 07:00:00,28740.00,28744.75,28662.00,28674.75,5652,2920,2732
2026-07-17 07:30:00,28674.25,28690.75,28645.50,28664.50,6154,3197,2957
2026-07-17 08:00:00,28664.75,28665.75,28581.00,28606.00,13744,6782,6962
2026-07-17 08:30:00,28607.75,28686.00,28408.25,28676.00,72689,36038,36651
2026-07-17 09:00:00,28676.00,28887.50,28665.25,28832.00,59503,28699,30804
2026-07-17 09:30:00,28832.00,28896.00,28721.00,28727.00,44161,23452,20709
2026-07-17 10:00:00,28727.00,28760.00,28672.25,28753.50,30907,15997,14910
2026-07-17 10:30:00,28753.25,28948.50,28718.00,28933.50,33651,16632,17019
2026-07-17 11:00:00,28934.00,28956.00,28846.00,28913.50,32366,16236,16130
2026-07-17 11:30:00,28914.25,29028.00,28885.75,28974.25,24219,11980,12239
2026-07-17 12:00:00,28974.75,29050.25,28966.25,29035.50,22695,11271,11424
2026-07-17 12:30:00,29035.75,29042.25,28883.75,28895.75,19100,9816,9284
2026-07-17 13:00:00,28896.25,28937.00,28822.50,28851.75,19966,10188,9778
2026-07-17 13:30:00,28852.00,28891.75,28797.00,28861.25,21980,11043,10937
2026-07-17 14:00:00,28861.00,28869.25,28718.50,28795.50,21460,11138,10322
2026-07-17 14:30:00,28795.75,28853.50,28753.75,28764.75,37775,18555,19220
2026-07-17 15:00:00,28765.00,28768.00,28712.50,28749.75,15059,7679,7380
2026-07-17 15:30:00,28749.50,28779.75,28749.25,28768.25,4501,2192,2309
2026-07-19 17:00:00,28747.75,28818.75,28709.75,28766.50,7329,3761,3568
2026-07-19 17:30:00,28763.75,28851.00,28757.75,28814.50,3665,1778,1887
2026-07-19 18:00:00,28818.00,28836.25,28781.00,28805.25,2571,1418,1153
2026-07-19 18:30:00,28805.50,28880.25,28793.75,28868.25,3631,1722,1909
2026-07-19 19:00:00,28870.00,28963.50,28806.00,28935.00,7054,3449,3605
2026-07-19 19:30:00,28935.75,28938.25,28850.00,28859.25,4681,2380,2301
2026-07-19 20:00:00,28861.75,28917.50,28811.50,28815.50,4980,2465,2515
2026-07-19 20:30:00,28815.00,28834.75,28762.75,28795.75,4525,2428,2097
2026-07-19 21:00:00,28798.50,28889.00,28793.00,28811.25,4246,2052,2194
2026-07-19 21:30:00,28811.00,28948.00,28809.50,28886.00,4043,1772,2271
2026-07-19 22:00:00,28888.00,28913.75,28856.00,28876.50,2429,1204,1225
2026-07-19 22:30:00,28876.50,28937.75,28851.00,28897.25,2874,1479,1395
2026-07-19 23:00:00,28900.00,28918.75,28844.50,28900.50,2393,1310,1083
2026-07-19 23:30:00,28900.25,28942.00,28888.25,28897.75,2688,1415,1273
2026-07-20 00:00:00,28898.00,28901.75,28812.75,28832.75,3106,1537,1569
2026-07-20 00:30:00,28831.25,28839.00,28789.00,28807.25,2514,1320,1194
2026-07-20 01:00:00,28808.00,28823.75,28768.75,28785.00,2537,1354,1183
2026-07-20 01:30:00,28786.50,28813.50,28766.00,28803.50,2221,1078,1143
2026-07-20 02:00:00,28805.75,28885.75,28797.75,28880.25,3365,1508,1857
2026-07-20 02:30:00,28880.00,28926.00,28878.25,28911.00,3678,1725,1953
2026-07-20 03:00:00,28908.25,28939.75,28889.50,28902.50,3047,1530,1517
2026-07-20 03:30:00,28902.25,28907.25,28860.00,28882.00,1873,889,984
