Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Aggression, Sell Aggression
2026-7-29, 17:14:58.345000, 27442.25, 27484.00, 27395.50, 27438.75, 5250, 4732, 27440.13, 27439.42, 27439.75, 2860, 2390, 0.00, 0.00
2026-7-29, 17:35:51.757005, 27438.75, 27487.75, 27418.75, 27487.75, 5250, 4813, 27458.25, 27464.75, 27453.25, 2511, 2739, 0.00, 0.00
2026-7-29, 18:08:44.133003, 27487.75, 27550.00, 27456.50, 27550.00, 5250, 4825, 27511.06, 27518.83, 27503.25, 2443, 2807, 0.00, 0.00
2026-7-29, 18:31:27.514003, 27550.00, 27559.25, 27495.25, 27540.75, 5250, 4977, 27536.31, 27531.75, 27527.25, 2668, 2582, 0.00, 0.00
2026-7-29, 18:56:18.731000, 27538.75, 27600.00, 27472.25, 27585.25, 5250, 4898, 27549.06, 27552.50, 27536.13, 2518, 2732, 0.00, 0.00
2026-7-29, 19:11:46.522000, 27584.25, 27611.00, 27550.50, 27572.75, 5250, 4931, 27579.63, 27578.08, 27580.75, 2622, 2628, 0.00, 0.00
2026-7-29, 19:32:44.755000, 27572.50, 27577.00, 27489.75, 27538.25, 5250, 4875, 27544.38, 27535.00, 27533.38, 2820, 2430, 0.00, 0.00
2026-7-29, 19:53:04.138000, 27539.25, 27664.25, 27510.25, 27592.00, 5250, 4794, 27576.44, 27588.83, 27587.25, 2557, 2693, 0.00, 0.00
2026-7-29, 20:10:31.194000, 27592.00, 27685.00, 27565.00, 27680.25, 5250, 4857, 27630.56, 27643.42, 27625.00, 2454, 2796, 0.00, 0.00
2026-7-29, 20:37:10.688000, 27681.00, 27696.75, 27633.00, 27638.25, 5250, 4747, 27662.25, 27656.00, 27664.88, 2609, 2641, 0.00, 0.00
2026-7-29, 21:05:35.772001, 27638.50, 27673.25, 27565.50, 27568.50, 5250, 4740, 27611.44, 27602.42, 27619.38, 2724, 2526, 0.00, 0.00
2026-7-29, 21:40:11.879000, 27567.50, 27631.00, 27502.50, 27502.50, 5250, 4921, 27550.88, 27545.33, 27566.75, 2770, 2480, 0.00, 0.00
2026-7-29, 22:12:11.240001, 27502.50, 27556.75, 27471.25, 27517.25, 5250, 4950, 27511.94, 27515.08, 27514.00, 2642, 2608, 0.00, 0.00
2026-7-29, 22:41:41.022001, 27516.75, 27563.50, 27459.50, 27521.75, 5250, 4827, 27515.38, 27514.92, 27511.50, 2640, 2610, 0.00, 0.00
2026-7-29, 23:29:03.945000, 27521.25, 27543.75, 27421.00, 27454.25, 5250, 4916, 27485.06, 27473.00, 27482.38, 2815, 2435, 0.00, 0.00
2026-7-30, 00:16:20.928000, 27455.25, 27546.25, 27453.25, 27483.75, 5250, 4836, 27484.63, 27494.42, 27499.75, 2640, 2610, 0.00, 0.00
2026-7-30, 01:00:02.815000, 27487.75, 27507.00, 27430.50, 27430.75, 5250, 4963, 27464.00, 27456.08, 27468.75, 2668, 2582, 0.00, 0.00
2026-7-30, 01:56:44.867001, 27430.25, 27521.75, 27415.00, 27448.75, 5250, 4791, 27453.94, 27461.83, 27468.38, 2609, 2641, 0.00, 0.00
2026-7-30, 02:17:18.030001, 27449.00, 27449.00, 27351.25, 27444.00, 5250, 4820, 27423.31, 27414.75, 27400.13, 2715, 2535, 0.00, 0.00
2026-7-30, 02:44:18.934000, 27443.50, 27456.00, 27337.50, 27449.00, 5250, 4843, 27421.50, 27414.17, 27396.75, 2641, 2609, 0.00, 0.00
2026-7-30, 03:10:51.623004, 27449.00, 27527.25, 27425.75, 27499.25, 5250, 4832, 27475.31, 27484.08, 27476.50, 2729, 2521, 0.00, 0.00
2026-7-30, 03:44:34.124002, 27499.25, 27574.75, 27460.50, 27567.25, 5250, 4847, 27525.44, 27534.17, 27517.63, 2665, 2585, 0.00, 0.00
2026-7-30, 04:27:53.394002, 27567.50, 27586.00, 27488.25, 27550.25, 5250, 4744, 27548.00, 27541.50, 27537.13, 2778, 2472, 0.00, 0.00
2026-7-30, 05:11:14.074007, 27550.25, 27643.00, 27534.75, 27623.75, 5250, 4553, 27587.94, 27600.50, 27588.88, 2750, 2500, 0.00, 0.00
2026-7-30, 05:41:30.057000, 27623.75, 27686.50, 27611.00, 27666.75, 5250, 4826, 27647.00, 27654.75, 27648.75, 2640, 2610, 0.00, 0.00
2026-7-30, 06:11:31.171000, 27664.50, 27730.00, 27655.25, 27686.25, 5250, 4640, 27684.00, 27690.50, 27692.63, 2654, 2596, 0.00, 0.00
2026-7-30, 06:34:32.307000, 27686.75, 27745.25, 27674.00, 27701.75, 5250, 4798, 27701.94, 27707.00, 27709.63, 2685, 2565, 0.00, 0.00
2026-7-30, 07:01:33.894000, 27701.75, 27766.25, 27695.75, 27726.75, 5250, 4724, 27722.63, 27729.58, 27731.00, 2564, 2686, 0.00, 0.00
2026-7-30, 07:22:01.744000, 27726.00, 27787.75, 27715.25, 27756.00, 5250, 4538, 27746.25, 27753.00, 27751.50, 2475, 2775, 0.00, 0.00
2026-7-30, 07:35:32.609000, 27756.00, 27808.75, 27754.75, 27778.75, 5250, 4662, 27774.56, 27780.75, 27781.75, 2624, 2626, 0.00, 0.00
2026-7-30, 07:48:19.362009, 27778.75, 27837.00, 27774.50, 27834.50, 5250, 4738, 27806.19, 27815.33, 27805.75, 2532, 2718, 0.00, 0.00
2026-7-30, 08:01:30.561018, 27835.00, 27863.00, 27832.75, 27863.00, 5250, 4086, 27848.44, 27852.92, 27847.88, 3014, 2236, 0.00, 0.00
2026-7-30, 08:07:12.661000, 27862.75, 27876.25, 27827.25, 27860.50, 5250, 4093, 27856.69, 27854.67, 27851.75, 3172, 2078, 0.00, 0.00
2026-7-30, 08:13:47.874000, 27860.50, 27869.50, 27831.25, 27857.00, 5250, 4785, 27854.56, 27852.58, 27850.38, 2517, 2733, 0.00, 0.00
2026-7-30, 08:28:00.079000, 27857.75, 27883.25, 27856.50, 27876.25, 2965, 2257, 27868.44, 27872.00, 27869.88, 1536, 1429, 0.00, 0.00
2026-7-30, 08:30:00.000000, 27877.25, 27891.50, 27835.50, 27844.00, 5250, 4824, 27862.06, 27857.00, 27863.50, 2559, 2691, 0.00, 0.00
2026-7-30, 08:30:42.375002, 27843.75, 27892.00, 27839.50, 27868.00, 5250, 4856, 27860.81, 27866.50, 27865.75, 2568, 2682, 0.00, 0.00
2026-7-30, 08:32:08.759001, 27868.00, 27875.25, 27813.25, 27819.75, 5250, 4895, 27844.06, 27836.08, 27844.25, 2745, 2505, 0.00, 0.00
2026-7-30, 08:33:53.183000, 27819.75, 27903.00, 27818.50, 27896.75, 5250, 5039, 27859.50, 27872.75, 27860.75, 2540, 2710, 0.00, 0.00
2026-7-30, 08:35:43.656000, 27896.00, 27919.50, 27864.75, 27884.00, 5250, 4911, 27891.06, 27889.42, 27892.13, 2659, 2591, 0.00, 0.00
2026-7-30, 08:37:05.775000, 27884.00, 27908.25, 27847.50, 27891.50, 5250, 4734, 27882.81, 27882.42, 27877.88, 2794, 2456, 0.00, 0.00
2026-7-30, 08:38:53.480004, 27891.50, 27901.50, 27849.75, 27880.75, 5250, 4873, 27880.88, 27877.33, 27875.63, 2833, 2417, 0.00, 0.00
2026-7-30, 08:41:06.194000, 27880.75, 27950.25, 27867.25, 27940.00, 5250, 4930, 27909.56, 27919.17, 27908.75, 2463, 2787, 27862.25, 0.00
2026-7-30, 08:43:23.593017, 27940.00, 27996.50, 27930.00, 27988.00, 5250, 4971, 27963.63, 27971.50, 27963.25, 2554, 2696, 0.00, 0.00
2026-7-30, 08:45:01.959004, 27987.75, 28031.00, 27986.50, 28026.75, 5250, 4848, 28008.00, 28014.75, 28008.75, 2603, 2647, 0.00, 0.00
2026-7-30, 08:46:45.838000, 28026.25, 28050.75, 28008.50, 28042.50, 5250, 4652, 28032.00, 28033.92, 28029.63, 2654, 2596, 0.00, 0.00
2026-7-30, 08:49:02.584004, 28042.50, 28086.50, 28040.25, 28086.50, 5250, 4351, 28063.94, 28071.08, 28063.38, 2221, 3029, 0.00, 0.00
2026-7-30, 08:50:54.672123, 28086.50, 28125.50, 28078.25, 28082.00, 5250, 4510, 28093.06, 28095.25, 28101.88, 2271, 2979, 0.00, 0.00
2026-7-30, 08:52:06.573000, 28081.50, 28098.00, 28049.00, 28086.25, 5250, 4918, 28078.69, 28077.75, 28073.50, 2662, 2588, 0.00, 0.00
2026-7-30, 08:54:09.835000, 28087.00, 28137.75, 28082.25, 28125.50, 5250, 4843, 28108.13, 28115.17, 28110.00, 2547, 2703, 0.00, 0.00
2026-7-30, 08:56:17.426003, 28125.50, 28131.50, 28091.00, 28129.50, 5250, 4921, 28119.38, 28117.33, 28111.25, 2588, 2662, 0.00, 0.00
2026-7-30, 08:59:05.714000, 28129.25, 28162.25, 28126.75, 28157.75, 5250, 4744, 28144.00, 28148.92, 28144.50, 2288, 2962, 0.00, 0.00
2026-7-30, 09:01:01.030000, 28157.50, 28183.75, 28152.00, 28168.25, 5250, 4621, 28165.38, 28168.00, 28167.88, 2297, 2953, 0.00, 0.00
2026-7-30, 09:02:28.662000, 28167.50, 28177.50, 28137.75, 28153.25, 5250, 5074, 28159.00, 28156.17, 28157.63, 2744, 2506, 0.00, 28182.50
2026-7-30, 09:05:00.351000, 28153.25, 28166.00, 28119.25, 28131.50, 5250, 4879, 28142.50, 28138.92, 28142.63, 2862, 2388, 0.00, 0.00
2026-7-30, 09:06:56.405000, 28131.50, 28139.00, 28078.75, 28093.00, 5250, 4734, 28110.56, 28103.58, 28108.88, 2789, 2461, 0.00, 0.00
2026-7-30, 09:08:50.348002, 28093.25, 28107.75, 28066.75, 28091.25, 5250, 4931, 28089.75, 28088.58, 28087.25, 2660, 2590, 0.00, 0.00
2026-7-30, 09:10:50.136002, 28091.25, 28116.75, 28068.50, 28098.50, 5250, 4967, 28093.75, 28094.58, 28092.63, 2624, 2626, 0.00, 0.00
2026-7-30, 09:13:16.384002, 28098.50, 28131.00, 28083.50, 28112.50, 5250, 4955, 28106.38, 28109.00, 28107.25, 2500, 2750, 0.00, 0.00
2026-7-30, 09:16:19.075001, 28112.75, 28140.00, 28080.25, 28096.50, 5250, 4991, 28107.38, 28105.58, 28110.13, 2734, 2516, 0.00, 0.00
2026-7-30, 09:18:57.472000, 28097.25, 28162.25, 28092.50, 28161.50, 5250, 4911, 28128.38, 28138.75, 28127.38, 2461, 2789, 0.00, 0.00
2026-7-30, 09:21:37.374000, 28162.25, 28174.00, 28136.00, 28162.50, 5250, 4766, 28158.69, 28157.50, 28155.00, 2691, 2559, 0.00, 0.00
2026-7-30, 09:24:41.543000, 28163.25, 28196.50, 28149.75, 28193.50, 5250, 4793, 28175.75, 28179.92, 28173.13, 2387, 2863, 0.00, 0.00
2026-7-30, 09:27:22.287000, 28194.25, 28240.00, 28185.25, 28224.50, 5250, 4255, 28211.00, 28216.58, 28212.63, 1981, 3269, 0.00, 0.00
