DateTime,Open,High,Low,Close,LegVWAP,DeltaIntensity
2026-07-15 02:37:16,29963.69,29989.75,29963.69,29977.31,0.00,-2.00
2026-07-15 02:44:00,29970.50,30004.25,29970.50,29988.25,0.00,-2.00
2026-07-15 02:52:29,29979.38,30005.25,29966.75,29984.62,0.00,-2.00
2026-07-15 03:02:44,29982.00,29982.00,29920.00,29943.88,0.00,-3.00
2026-07-15 03:04:31,29962.94,29962.94,29917.00,29927.50,0.00,-3.00
2026-07-15 03:09:27,29945.22,29945.22,29910.25,29922.44,0.00,-4.00
2026-07-15 03:13:51,29933.83,29933.83,29897.00,29910.00,0.00,-4.00
2026-07-15 03:19:27,29921.91,29921.91,29872.00,29893.69,0.00,-4.00
2026-07-15 03:25:08,29907.80,29920.00,29881.75,29897.06,0.00,-2.00
2026-07-15 03:32:46,29902.43,29926.25,29897.75,29911.00,0.00,-2.00
2026-07-15 03:42:27,29906.71,29943.50,29902.25,29921.94,0.00,-2.00
2026-07-15 03:50:49,29914.33,29948.50,29911.75,29932.56,0.00,-2.00
2026-07-15 04:03:38,29923.45,29958.25,29923.45,29948.50,0.00,2.00
2026-07-15 04:18:31,29935.97,29963.50,29928.25,29943.19,0.00,2.00
2026-07-15 04:37:18,29939.58,29959.75,29925.25,29935.81,0.00,2.00
2026-07-15 04:52:58,29937.70,29938.75,29914.25,29928.31,0.00,2.00
2026-07-15 05:12:23,29933.00,29947.25,29901.00,29923.88,0.00,2.00
2026-07-15 05:24:10,29928.44,29928.44,29886.00,29905.25,0.00,-2.00
2026-07-15 05:31:12,29916.84,29921.25,29890.00,29903.69,0.00,-2.00
2026-07-15 05:42:58,29910.27,29934.25,29899.75,29916.00,0.00,-2.00
2026-07-15 06:00:08,29913.13,29953.00,29913.13,29935.94,0.00,-2.00
2026-07-15 06:09:36,29924.54,29942.50,29920.75,29931.25,0.00,-2.00
2026-07-15 06:24:52,29927.89,29938.50,29911.50,29927.25,0.00,-2.00
2026-07-15 06:40:18,29927.57,29942.00,29906.75,29926.31,0.00,-2.00
2026-07-15 06:51:22,29926.94,29926.94,29903.50,29914.50,0.00,-2.00
2026-07-15 07:02:16,29920.72,29920.72,29876.50,29897.00,0.00,-3.00
2026-07-15 07:09:53,29908.86,29908.86,29873.75,29885.69,0.00,-3.00
2026-07-15 07:20:07,29897.27,29897.27,29856.25,29870.94,0.00,-3.00
2026-07-15 07:25:48,29884.11,29944.00,29856.50,29900.88,0.00,-3.00
2026-07-15 07:30:02,29892.49,29947.00,29880.25,29923.94,0.00,-3.00
